frameid,fps,people_cnt,bodyid,Head,ShoulderSpine,LeftShoulder,LeftElbow,LeftHand,RightShoulder,RightElbow,RightHand,MidSpine,BaseSpine,LeftHip,LeftKnee,LeftFoot,RightHip,RightKnee,RightFoot,LeftWrist,RightWrist,Neck,Unknown
241,30.303,2,67,"[-714.99, 165.054, 1909.74]","[-693.988, 28.3106, 1945.14]","[-816.499, 104.085, 1814.97]","[-729.385, -98.9496, 1895.26]","[-665.462, 150.291, 1864.9]","[-728.341, 54.9067, 2050.98]","[-727.848, -177.417, 2048.2]","[-727.848, -481.725, 2048.2]","[-757.426, -103.419, 2096.14]","[-769.161, -269.898, 2126.03]","[-866.2, -359.829, 2158.62]","[-696.384, -357.387, 1855.84]","[-701.135, -686.213, 1853.83]","[-671.709, -341.891, 2156.61]","[-702.397, -387.558, 1814.89]","[-616.591, -712.57, 1754.73]","[-676.089, 108.754, 1869.96]","[-727.848, -394.175, 2048.2]","[-672.682, 72.5403, 1894.43]","[0, 0, 0]"
241,30.303,2,70,"[937.283, 104.254, 2303.6]","[938.109, -98.0613, 2239.83]","[867.779, -119.381, 2392.51]","[754.721, -347.81, 2502.72]","[460.801, -290.834, 2556.97]","[1068.64, -96.9455, 2129.02]","[1102.26, -366.561, 2071.64]","[1041.35, -610.701, 1900.55]","[909.522, -353.705, 2199.82]","[902.832, -530.736, 2143.99]","[813.469, -585.852, 2150.29]","[813.566, -1005.71, 2150.01]","[813.566, -1396.02, 2150.01]","[989.739, -564.389, 2097.64]","[919.208, -760.405, 1732.11]","[922.317, -1161.43, 1738.41]","[509.788, -300.33, 2547.93]","[1051.5, -570.011, 1929.06]","[947.294, -15.9227, 2252.68]","[0, 0, 0]"
242,30.303,2,67,"[-714.0, 163.128, 1904.68]","[-693.718, 26.0817, 1939.1]","[-818.967, 103.089, 1814.72]","[-716.913, -99.7449, 1876.08]","[-648.36, 149.972, 1873.9]","[-726.645, 60.9605, 2046.2]","[-724.734, -169.949, 2044.48]","[-724.734, -474.377, 2044.48]","[-758.493, -105.837, 2090.28]","[-768.748, -271.383, 2119.42]","[-871.102, -358.138, 2134.88]","[-694.764, -346.154, 1835.34]","[-690.579, -681.032, 1816.66]","[-670.491, -343.082, 2153.65]","[-701.491, -379.868, 1810.24]","[-612.547, -702.095, 1748.9]","[-659.758, 108.351, 1874.26]","[-724.734, -386.64, 2044.48]","[-671.976, 70.3512, 1888.37]","[0, 0, 0]"
242,30.303,2,70,"[937.399, 104.292, 2303.33]","[938.547, -98.0451, 2239.82]","[865.704, -118.837, 2391.65]","[755.277, -348.197, 2502.5]","[459.889, -298.154, 2555.04]","[1069.75, -97.1744, 2129.41]","[1102.11, -366.8, 2071.54]","[1041.67, -611.684, 1901.44]","[909.578, -353.724, 2199.75]","[902.935, -531.014, 2143.92]","[813.528, -585.816, 2149.84]","[813.493, -1004.47, 2149.59]","[813.493, -1394.73, 2149.59]","[989.651, -564.372, 2097.3]","[916.372, -767.971, 1736.54]","[912.268, -1171.54, 1747.46]","[509.121, -306.494, 2546.29]","[1051.74, -570.87, 1929.79]","[947.85, -15.933, 2252.68]","[0, 0, 0]"
243,30.303,2,67,"[-713.623, 162.21, 1899.76]","[-693.165, 24.0345, 1933.1]","[-818.929, 101.307, 1810.01]","[-702.738, -97.3285, 1861.96]","[-632.435, 151.916, 1880.37]","[-723.187, 67.978, 2042.52]","[-720.264, -163.218, 2041.27]","[-720.264, -467.741, 2041.27]","[-758.47, -111.169, 2081.76]","[-766.152, -276.4, 2107.34]","[-865.812, -367.52, 2104.1]","[-690.171, -347.226, 1803.82]","[-685.036, -690.041, 1779.39]","[-669.025, -348.422, 2146.86]","[-701.367, -373.419, 1801.6]","[-609.952, -693.6, 1740.5]","[-644.143, 110.372, 1877.3]","[-720.264, -379.855, 2041.27]","[-671.256, 69.3861, 1883.23]","[0, 0, 0]"
243,30.303,2,70,"[937.543, 104.392, 2303.01]","[939.026, -98.0249, 2239.8]","[864.833, -118.574, 2391.19]","[755.952, -348.656, 2502.02]","[459.051, -305.837, 2552.08]","[1070.82, -97.3228, 2129.71]","[1101.96, -366.985, 2071.48]","[1042.08, -613.059, 1902.99]","[909.612, -353.634, 2199.69]","[902.979, -531.243, 2143.86]","[813.539, -585.804, 2149.19]","[813.498, -1003.7, 2148.77]","[813.498, -1393.92, 2148.77]","[989.611, -564.322, 2097.16]","[914.527, -778.443, 1744.31]","[912.493, -1179.93, 1753.82]","[508.535, -312.973, 2543.73]","[1052.06, -572.047, 1931.07]","[948.472, -15.9401, 2252.68]","[0, 0, 0]"
244,30.303,2,67,"[-713.861, 162.334, 1894.91]","[-692.634, 22.8797, 1927.14]","[-816.341, 98.8335, 1800.72]","[-689.283, -92.9522, 1855.04]","[-618.235, 155.625, 1884.81]","[-718.522, 71.5269, 2039.51]","[-715.071, -163.367, 2038.43]","[-715.071, -467.965, 2038.43]","[-758.722, -116.897, 2071.64]","[-762.893, -281.851, 2091.73]","[-858.155, -362.119, 2066.16]","[-668.376, -353.867, 1773.76]","[-630.868, -302.945, 2109.86]","[-667.231, -344.895, 2136.52]","[-702.692, -365.199, 1790.18]","[-607.972, -685.447, 1730.74]","[-630.081, 114.193, 1879.85]","[-715.071, -379.959, 2038.43]","[-670.472, 69.7483, 1878.68]","[0, 0, 0]"
244,30.303,2,70,"[937.694, 104.541, 2302.67]","[939.523, -98.0039, 2239.79]","[864.664, -118.477, 2390.95]","[756.726, -349.15, 2501.43]","[458.584, -311.117, 2547.86]","[1071.81, -97.4412, 2129.94]","[1101.83, -367.151, 2071.45]","[1042.78, -615.196, 1905.66]","[909.658, -353.485, 2199.65]","[902.998, -531.421, 2143.81]","[813.542, -585.805, 2148.56]","[813.519, -1003.07, 2148.19]","[813.519, -1393.27, 2148.19]","[989.573, -564.216, 2097.06]","[913.377, -779.69, 1746.47]","[912.47, -1170.53, 1748.59]","[508.274, -317.455, 2540.12]","[1052.62, -573.855, 1933.29]","[949.116, -15.9447, 2252.68]","[0, 0, 0]"
245,30.303,2,67,"[-714.356, 164.891, 1890.83]","[-691.821, 24.6206, 1921.75]","[-812.586, 95.3447, 1789.12]","[-714.25, -100.929, 1868.57]","[-611.721, 135.1, 1883.59]","[-711.401, 73.4258, 2037.17]","[-706.283, -162.779, 2036.36]","[-706.283, -467.434, 2036.36]","[-757.61, -119.027, 2063.01]","[-758.044, -283.175, 2077.86]","[-855.258, -339.782, 2083.05]","[-670.47, -354.047, 1787.37]","[-675.478, -694.835, 1806.31]","[-666.271, -329.926, 2131.29]","[-702.739, -370.724, 1786.56]","[-601.888, -688.021, 1718.44]","[-628.849, 95.7776, 1881.08]","[-706.283, -379.333, 2036.36]","[-669.765, 72.7765, 1874.39]","[0, 0, 0]"
245,30.303,2,70,"[937.726, 104.676, 2302.39]","[940.017, -97.9839, 2239.79]","[864.677, -118.413, 2390.76]","[757.645, -349.737, 2500.71]","[458.578, -315.435, 2544.04]","[1072.74, -97.5526, 2130.15]","[1101.75, -367.308, 2071.45]","[1043.54, -617.589, 1908.81]","[909.717, -353.316, 2199.64]","[903.004, -531.55, 2143.76]","[813.569, -585.805, 2148.33]","[813.578, -1002.56, 2148.3]","[813.578, -1392.73, 2148.3]","[989.557, -564.091, 2097.03]","[913.552, -779.933, 1747.72]","[913.909, -1169.92, 1748.61]","[508.422, -321.152, 2536.82]","[1053.24, -575.876, 1935.92]","[949.752, -15.9477, 2252.68]","[0, 0, 0]"
