62,308532.0,2,70,"[217.024, 299.174, 2082.23]","[222.244, 150.712, 2129.35]","[153.179, 91.9019, 2062.75]","[2.75266, -45.5911, 1929.01]","[-211.725, -138.169, 1816.15]","[292.228, 75.1334, 2055.95]","[288.636, -192.121, 2053.69]","[288.636, -520.733, 2053.69]","[226.399, -74.3128, 2109.97]","[226.883, -256.065, 2091.31]","[129.856, -421.032, 2079.64]","[121.885, -805.577, 2083.42]","[121.885, -1163.31, 2083.42]","[323.651, -419.595, 2060.28]","[228.893, -719.633, 1854.3]","[225.677, -1078.79, 1849.5]","[-176.306, -122.72, 1834.96]","[288.636, -425.913, 2053.69]","[220.851, 226.143, 2135.84]","[0, 0, 0]"
63,246832.0,2,70,"[211.311, 251.601, 2063.8]","[221.358, 104.61, 2117.63]","[137.949, 49.0949, 2056.93]","[-34.6716, -65.6592, 1910.52]","[-276.124, -149.11, 1811.33]","[298.773, 66.5819, 2026.39]","[309.581, -205.793, 2004.38]","[309.581, -538.004, 2004.38]","[222.253, -124.169, 2102.7]","[222.208, -308.698, 2084.04]","[120.869, -421.793, 2084.95]","[115.928, -803.595, 2088.61]","[115.928, -1165.55, 2088.61]","[323.565, -418.554, 2058.72]","[225.352, -721.609, 1848.09]","[223.628, -1082.52, 1845.83]","[-236.018, -135.192, 1827.86]","[309.581, -442.03, 2004.38]","[221.06, 181.31, 2122.63]","[0, 0, 0]"
64,197472.0,2,70,"[223.813, 191.797, 2032.25]","[222.068, 50.5267, 2101.75]","[117.244, 10.0803, 2040.44]","[-70.9426, -81.7099, 1887.6]","[-330.157, -153.079, 1801.16]","[318.45, 93.7153, 1986.32]","[336.303, -145.783, 1958.15]","[336.303, -480.187, 1958.15]","[218.408, -180.872, 2097.56]","[218.967, -365.433, 2076.66]","[116.538, -421.945, 2089.32]","[115.538, -807.7, 2091.83]","[115.538, -1172.27, 2091.83]","[321.907, -418.539, 2057.25]","[224.592, -726.93, 1846.59]","[225.102, -1094.41, 1847.75]","[-286.987, -141.179, 1815.56]","[336.303, -383.489, 1958.15]","[223.303, 128.096, 2103.16]","[0, 0, 0]"
65,157985.0,2,70,"[249.288, 124.134, 1996.57]","[224.912, -7.67434, 2085.14]","[93.0333, -14.9552, 2023.32]","[-98.973, -92.8853, 1863.35]","[-373.834, -142.246, 1808.27]","[299.657, 143.903, 1981.32]","[281.658, -78.2601, 1985.95]","[281.658, -413.336, 1985.95]","[213.797, -239.039, 2101.17]","[219.859, -419.512, 2061.78]","[116.38, -420.631, 2091.01]","[118.227, -807.045, 2091.22]","[118.227, -1172.53, 2091.22]","[319.215, -418.264, 2056.2]","[225.342, -731.648, 1847.39]","[226.669, -1099.57, 1849.49]","[-328.016, -133.986, 1817.45]","[281.658, -316.374, 1985.95]","[228.665, 69.86, 2079.77]","[0, 0, 0]"
66,126394.0,2,70,"[127.316, -0.901185, 2031.02]","[228.536, -61.3531, 2070.45]","[74.6859, -29.0064, 2031.0]","[-100.368, -90.926, 1848.36]","[-369.834, -67.0303, 1779.82]","[253.475, 155.844, 2001.06]","[214.936, -103.258, 2023.03]","[214.936, -437.513, 2023.03]","[209.321, -290.114, 2107.27]","[223.805, -461.337, 2044.69]","[118.415, -433.392, 2090.9]","[121.154, -831.667, 2089.93]","[121.154, -1196.4, 2089.93]","[315.707, -432.475, 2054.23]","[222.944, -743.082, 1840.2]","[221.14, -1116.0, 1834.67]","[-324.895, -71.1059, 1791.24]","[214.936, -340.733, 2023.03]","[235.005, 15.2789, 2058.12]","[0, 0, 0]"
67,101122.0,2,70,"[262.037, 52.0479, 2050.48]","[231.712, -107.978, 2058.55]","[72.5875, -38.0935, 2054.29]","[-81.3355, -74.5273, 1850.21]","[-348.894, -42.2706, 1766.6]","[169.682, 96.7058, 2054.73]","[169.682, -161.126, 2054.73]","[169.682, -493.195, 2054.73]","[207.69, -331.772, 2110.72]","[226.236, -496.071, 2036.61]","[119.992, -455.732, 2090.24]","[121.533, -858.005, 2089.28]","[121.533, -1220.46, 2089.28]","[313.993, -456.604, 2051.75]","[217.59, -756.812, 1827.57]","[213.53, -1128.41, 1818.17]","[-304.277, -47.6988, 1780.53]","[169.682, -397.005, 2054.73]","[239.821, -32.5819, 2040.95]","[0, 0, 0]"
68,80904.1,2,70,"[309.911, 5.75846, 2049.94]","[233.961, -141.26, 2051.14]","[77.3295, -40.0337, 2067.47]","[-73.4101, -62.1105, 1860.07]","[-343.947, -56.9254, 1787.98]","[370.642, -42.9591, 2138.02]","[370.642, -298.227, 2138.02]","[370.642, -626.907, 2138.02]","[207.532, -361.154, 2112.39]","[227.842, -520.358, 2033.71]","[118.125, -466.622, 2089.76]","[116.402, -853.05, 2089.23]","[116.402, -1211.9, 2089.23]","[316.081, -473.65, 2050.27]","[213.383, -763.99, 1821.07]","[210.82, -1125.76, 1818.07]","[-298.836, -57.8467, 1799.99]","[370.642, -531.665, 2138.02]","[242.864, -67.1121, 2030.48]","[0, 0, 0]"
69,64729.8,2,70,"[305.881, -0.136345, 2050.04]","[235.139, -158.476, 2048.54]","[83.4246, -36.6122, 2072.75]","[-66.6613, -55.5999, 1867.67]","[-321.551, -94.7479, 1774.73]","[364.677, -25.4239, 2133.08]","[364.677, -277.328, 2133.08]","[364.677, -601.609, 2133.08]","[207.004, -375.714, 2115.54]","[230.882, -527.548, 2029.37]","[117.523, -469.641, 2088.64]","[117.22, -844.901, 2087.71]","[117.22, -1199.01, 2087.71]","[318.116, -479.471, 2049.51]","[213.821, -766.526, 1823.97]","[215.318, -1120.17, 1828.65]","[-279.075, -88.1834, 1790.22]","[364.677, -507.615, 2133.08]","[244.543, -85.7208, 2026.11]","[0, 0, 0]"
70,51790.7,2,70,"[149.067, -32.3304, 2036.53]","[234.311, -158.797, 2053.71]","[89.6232, -24.1625, 2072.94]","[-66.5967, -54.5782, 1878.67]","[-303.486, -126.215, 1765.8]","[259.783, 85.7546, 2053.15]","[259.783, -163.459, 2053.15]","[259.783, -484.22, 2053.15]","[201.055, -367.449, 2138.73]","[235.931, -491.524, 2023.57]","[123.263, -464.846, 2086.8]","[128.336, -830.878, 2085.4]","[128.336, -1181.2, 2085.4]","[317.874, -462.535, 2050.45]","[222.521, -759.341, 1842.31]","[230.537, -1101.59, 1858.61]","[-264.022, -114.226, 1784.61]","[259.783, -391.225, 2053.15]","[245.352, -89.4699, 2025.49]","[0, 0, 0]"
71,41439.1,2,70,"[137.048, -60.8956, 2029.68]","[232.353, -142.572, 2066.15]","[88.4371, -17.6866, 2072.58]","[-71.1708, -58.1685, 1886.64]","[-300.348, -159.349, 1783.62]","[225.028, 104.525, 2033.85]","[225.028, -142.538, 2033.85]","[225.028, -460.487, 2033.85]","[192.043, -333.736, 2179.46]","[233.481, -433.35, 2043.34]","[133.941, -450.533, 2085.17]","[142.277, -807.113, 2084.13]","[142.277, -1154.41, 2084.13]","[311.64, -443.11, 2054.28]","[230.567, -746.022, 1856.02]","[236.426, -1082.05, 1865.32]","[-262.147, -142.491, 1800.79]","[225.028, -368.289, 2033.85]","[245.675, -79.5106, 2028.78]","[0, 0, 0]"
72,33157.9,2,70,"[268.678, 2.81998, 1946.44]","[231.585, -118.109, 2077.98]","[84.6613, -11.8926, 2078.75]","[-68.103, -68.0324, 1894.3]","[-294.944, -193.453, 1815.78]","[232.357, 146.328, 2023.6]","[221.824, -114.153, 2042.44]","[221.824, -432.63, 2042.44]","[188.657, -299.261, 2204.38]","[231.695, -392.807, 2061.76]","[142.587, -436.927, 2085.16]","[148.01, -793.859, 2085.58]","[148.01, -1138.74, 2085.58]","[302.607, -431.842, 2060.53]","[237.38, -738.125, 1867.4]","[241.485, -1078.35, 1873.89]","[-257.12, -172.577, 1828.86]","[221.824, -341.067, 2042.44]","[245.741, -58.3853, 2036.29]","[0, 0, 0]"
73,26532.9,2,70,"[252.532, 49.0171, 1965.68]","[231.607, -92.6794, 2084.71]","[81.3825, -6.98877, 2090.32]","[-57.0818, -83.1237, 1904.59]","[-288.687, -209.866, 1844.96]","[220.4, 152.822, 2032.46]","[217.24, -87.5652, 2036.51]","[217.24, -403.712, 2036.51]","[194.327, -279.647, 2199.86]","[232.677, -386.016, 2065.9]","[146.012, -430.637, 2085.6]","[146.69, -792.826, 2086.18]","[146.69, -1135.8, 2086.18]","[299.686, -424.917, 2062.96]","[240.664, -731.838, 1873.12]","[241.589, -1071.71, 1874.73]","[-250.081, -188.74, 1854.89]","[217.24, -312.654, 2036.51]","[243.932, -30.953, 2046.68]","[0, 0, 0]"
74,21232.9,2,70,"[235.695, 92.0962, 1987.4]","[230.72, -66.8544, 2087.47]","[76.1222, -5.54135, 2097.8]","[-49.9618, -97.3618, 1911.59]","[-282.991, -217.1, 1848.28]","[213.542, 169.671, 2030.3]","[150.575, -23.4066, 1934.08]","[-103.483, -47.5048, 1946.07]","[204.441, -265.339, 2177.47]","[230.393, -400.36, 2077.24]","[143.115, -433.536, 2085.25]","[139.031, -801.4, 2085.0]","[139.031, -1142.87, 2085.0]","[299.745, -430.632, 2063.14]","[240.054, -732.577, 1869.23]","[238.121, -1076.71, 1863.45]","[-244.153, -197.142, 1858.83]","[-61.1285, -43.3547, 1944.07]","[239.476, -1.22121, 2057.69]","[0, 0, 0]"
75,16993.0,2,70,"[212.998, 130.155, 2006.7]","[226.54, -38.8323, 2090.06]","[72.5159, -8.32412, 2105.44]","[-45.944, -106.067, 1917.35]","[-267.633, -206.214, 1813.88]","[209.11, 188.675, 2015.01]","[129.785, -17.0503, 1932.72]","[-127.095, -62.2137, 1938.53]","[212.724, -246.509, 2154.92]","[227.298, -404.949, 2090.86]","[138.625, -438.635, 2084.73]","[134.426, -805.502, 2084.36]","[134.426, -1145.8, 2084.36]","[304.874, -431.146, 2060.04]","[238.443, -730.199, 1866.68]","[236.463, -1069.39, 1863.86]","[-230.691, -189.559, 1831.13]","[-84.2716, -54.5932, 1937.56]","[231.188, 30.0091, 2068.55]","[0, 0, 0]"
76,13601.0,2,70,"[179.939, 169.389, 2032.92]","[217.328, -7.06457, 2096.23]","[73.3587, -12.8035, 2115.74]","[-44.253, -107.067, 1924.07]","[-263.893, -189.237, 1801.77]","[209.498, 188.974, 1980.91]","[110.096, -23.0978, 1926.99]","[-144.521, -85.4104, 1908.82]","[216.667, -220.43, 2139.23]","[225.122, -392.958, 2100.4]","[136.618, -441.975, 2084.88]","[135.384, -805.265, 2085.12]","[135.384, -1144.67, 2085.12]","[308.209, -428.75, 2057.61]","[237.613, -727.15, 1866.78]","[236.84, -1064.76, 1866.91]","[-227.288, -175.57, 1822.15]","[-102.074, -74.9486, 1911.85]","[217.593, 63.8409, 2081.95]","[0, 0, 0]"
77,10887.4,2,70,"[145.18, 211.34, 2069.26]","[201.917, 29.2593, 2109.38]","[77.1658, -12.4937, 2119.47]","[-46.6476, -105.052, 1929.23]","[-275.481, -170.036, 1813.97]","[219.656, 150.59, 1962.6]","[83.2538, -44.1304, 1913.71]","[-175.647, -91.1733, 1893.36]","[215.513, -186.69, 2130.97]","[223.06, -366.605, 2106.57]","[136.467, -443.851, 2085.52]","[136.87, -804.882, 2086.09]","[136.87, -1143.62, 2086.09]","[308.257, -430.135, 2056.96]","[237.156, -727.949, 1866.92]","[236.856, -1068.22, 1867.05]","[-237.348, -159.198, 1833.18]","[-132.491, -83.3006, 1896.75]","[197.417, 101.172, 2102.19]","[0, 0, 0]"
