frameid,fps,people_cnt,bodyid,Head,ShoulderSpine,LeftShoulder,LeftElbow,LeftHand,RightShoulder,RightElbow,RightHand,MidSpine,BaseSpine,LeftHip,LeftKnee,LeftFoot,RightHip,RightKnee,RightFoot,LeftWrist,RightWrist,Neck,Unknown
124,30.303,2,249,"[-868.1, 380.03, 1796.23]","[-922.977, 213.983, 1732.9]","[-1020.38, 224.451, 1613.57]","[-1226.4, 318.768, 1468.05]","[-963.869, 470.759, 1635.51]","[-986.195, 184.018, 1837.4]","[-982.213, -83.215, 1832.07]","[-982.213, -429.246, 1832.07]","[-965.648, -21.6386, 1748.22]","[-944.448, -211.73, 1706.52]","[-914.312, -573.472, 1638.43]","[-914.312, -974.553, 1638.43]","[-914.312, -1351.83, 1638.43]","[-898.372, -566.28, 1692.23]","[-898.372, -967.361, 1692.23]","[-898.372, -1344.64, 1692.23]","[-1080.88, 482.745, 1549.36]","[-982.213, -329.063, 1832.07]","[-908.099, 293.248, 1726.94]","[0, 0, 0]"
124,30.303,2,174,"[375.051, 327.399, 2057.51]","[417.144, 137.371, 2029.59]","[377.169, 133.352, 2183.55]","[369.897, -136.043, 2170.64]","[308.535, -422.465, 2125.06]","[459.451, 129.452, 1881.07]","[500.657, -133.384, 1827.44]","[403.412, -397.797, 1734.71]","[433.874, -113.499, 2029.95]","[436.279, -321.673, 2005.71]","[361.395, -389.222, 2054.98]","[360.11, -788.83, 2054.74]","[360.11, -1168.54, 2054.74]","[506.757, -387.826, 1945.06]","[408.987, -722.002, 1746.06]","[238.273, -811.554, 2073.65]","[318.761, -374.731, 2132.66]","[419.617, -353.727, 1750.17]","[411.762, 218.108, 2029.48]","[0, 0, 0]"
125,30.303,2,249,"[-860.9, 380.644, 1785.72]","[-917.066, 214.406, 1724.82]","[-1012.56, 224.702, 1604.64]","[-1220.2, 319.414, 1462.66]","[-922.31, 297.142, 1640.27]","[-977.937, 184.105, 1827.23]","[-972.794, -84.5072, 1821.33]","[-972.794, -430.215, 1821.33]","[-959.047, -20.6952, 1744.11]","[-940.727, -211.372, 1704.18]","[-914.312, -573.479, 1638.43]","[-914.312, -974.375, 1638.43]","[-914.312, -1351.48, 1638.43]","[-898.371, -566.287, 1692.23]","[-898.371, -967.183, 1692.23]","[-898.371, -1344.29, 1692.23]","[-1026.87, 386.425, 1578.91]","[-972.794, -330.079, 1821.33]","[-901.846, 293.469, 1717.6]","[0, 0, 0]"
125,30.303,2,174,"[363.119, 327.306, 2055.6]","[409.461, 137.944, 2024.69]","[369.053, 134.962, 2177.81]","[359.244, -118.411, 2110.06]","[288.167, -405.281, 2102.88]","[452.988, 129.655, 1877.27]","[491.512, -131.07, 1822.15]","[388.669, -397.415, 1737.51]","[427.544, -112.558, 2026.95]","[431.924, -320.826, 2003.18]","[360.124, -387.806, 2053.07]","[272.211, -775.589, 2005.69]","[272.211, -1154.87, 2005.69]","[499.851, -382.319, 1940.02]","[408.12, -719.519, 1742.24]","[235.048, -807.215, 2068.67]","[299.972, -357.482, 2104.07]","[405.807, -353.024, 1751.62]","[403.636, 218.648, 2023.96]","[0, 0, 0]"
126,30.303,2,249,"[-851.055, 382.637, 1772.56]","[-910.568, 214.998, 1717.46]","[-1003.34, 225.348, 1595.31]","[-1212.12, 320.111, 1455.73]","[-895.21, 315.784, 1600.35]","[-968.18, 183.659, 1817.88]","[-962.035, -85.0806, 1812.79]","[-962.035, -430.487, 1812.79]","[-950.621, -19.9939, 1740.58]","[-935.985, -211.2, 1702.15]","[-914.312, -573.477, 1638.43]","[-914.312, -974.177, 1638.43]","[-914.312, -1351.09, 1638.43]","[-898.372, -566.285, 1692.23]","[-898.372, -966.984, 1692.23]","[-898.372, -1343.9, 1692.23]","[-992.522, 340.454, 1573.86]","[-962.035, -330.4, 1812.79]","[-895.516, 293.939, 1709.07]","[0, 0, 0]"
126,30.303,2,174,"[352.707, 326.993, 2054.06]","[402.029, 138.616, 2021.01]","[359.16, 137.154, 2173.46]","[343.137, -84.4791, 2038.76]","[237.99, -363.748, 2050.82]","[441.461, 129.213, 1874.3]","[481.256, -131.898, 1815.65]","[366.007, -399.803, 1742.08]","[423.076, -111.355, 2023.54]","[428.218, -319.233, 2000.67]","[359.095, -386.904, 2050.49]","[271.796, -775.685, 2007.0]","[269.711, -1155.1, 2013.52]","[494.054, -378.105, 1935.94]","[401.858, -719.083, 1744.68]","[231.243, -805.58, 2072.21]","[255.465, -317.213, 2048.82]","[385.208, -355.152, 1754.34]","[395.24, 219.24, 2020.19]","[0, 0, 0]"
127,30.303,2,249,"[-840.74, 386.029, 1756.61]","[-903.063, 215.496, 1710.2]","[-993.999, 226.242, 1585.99]","[-1202.49, 321.525, 1446.82]","[-882.755, 328.41, 1585.17]","[-957.771, 184.688, 1810.93]","[-951.416, -82.4845, 1807.81]","[-951.416, -427.604, 1807.81]","[-936.755, -20.3419, 1735.13]","[-928.179, -212.246, 1698.94]","[-914.313, -573.468, 1638.43]","[-914.313, -973.956, 1638.43]","[-914.313, -1350.68, 1638.43]","[-898.373, -566.276, 1692.22]","[-898.373, -966.765, 1692.22]","[-898.373, -1343.48, 1692.22]","[-973.736, 325.246, 1560.32]","[-951.416, -327.57, 1807.81]","[-889.176, 294.503, 1700.94]","[0, 0, 0]"
127,30.303,2,174,"[342.966, 326.903, 2053.15]","[393.667, 139.335, 2018.52]","[352.462, 138.455, 2171.0]","[349.148, -132.579, 2170.49]","[349.148, -484.238, 2170.49]","[430.877, 129.803, 1872.96]","[469.211, -131.786, 1813.35]","[350.783, -401.046, 1746.52]","[417.469, -110.244, 2020.18]","[423.028, -317.495, 1998.14]","[356.428, -386.945, 2047.38]","[263.941, -774.813, 2009.39]","[248.574, -1151.77, 2014.05]","[487.043, -376.386, 1933.19]","[387.078, -717.601, 1746.48]","[229.831, -801.122, 2080.68]","[349.148, -383.97, 2170.49]","[370.52, -356.169, 1757.66]","[385.986, 219.879, 2017.99]","[0, 0, 0]"
128,29.4118,2,249,"[-831.197, 390.658, 1738.51]","[-892.665, 215.458, 1700.15]","[-985.37, 227.007, 1577.89]","[-980.534, -40.367, 1573.7]","[-980.534, -385.208, 1573.7]","[-948.626, 186.916, 1804.6]","[-943.61, -79.2155, 1801.63]","[-943.61, -424.056, 1801.63]","[-910.261, -23.8659, 1708.64]","[-902.884, -218.288, 1690.96]","[-927.091, -256.686, 1704.99]","[-927.091, -656.948, 1704.99]","[-927.091, -1033.45, 1704.99]","[-846.394, -242.912, 1700.34]","[-846.394, -643.174, 1700.34]","[-846.394, -1019.68, 1700.34]","[-980.534, -285.23, 1573.7]","[-943.61, -324.079, 1801.63]","[-881.938, 295.052, 1693.04]","[0, 0, 0]"
128,29.4118,2,174,"[332.971, 326.887, 2053.06]","[383.66, 139.983, 2017.09]","[338.432, 140.218, 2168.41]","[328.662, -129.688, 2167.35]","[328.662, -480.103, 2167.35]","[417.735, 129.955, 1872.62]","[458.378, -131.368, 1813.67]","[340.847, -400.741, 1747.93]","[408.09, -109.516, 2017.54]","[413.429, -315.998, 1995.66]","[347.073, -387.664, 2041.23]","[248.071, -774.476, 2011.74]","[231.632, -1152.71, 2013.91]","[477.301, -376.317, 1932.64]","[375.916, -719.403, 1750.26]","[227.346, -780.396, 2092.33]","[328.662, -379.839, 2167.35]","[360.438, -355.845, 1758.89]","[375.776, 220.509, 2016.95]","[0, 0, 0]"
