frameid,fps,people_cnt,bodyid,Head,ShoulderSpine,LeftShoulder,LeftElbow,LeftHand,RightShoulder,RightElbow,RightHand,MidSpine,BaseSpine,LeftHip,LeftKnee,LeftFoot,RightHip,RightKnee,RightFoot,LeftWrist,RightWrist,Neck,Unknown
102,30.303,2,122,"[-622.52, 362.141, 1796.06]","[-660.294, 166.938, 1757.11]","[-721.501, 157.101, 1622.25]","[-748.0, -107.664, 1566.91]","[-635.374, -381.009, 1443.56]","[-613.617, 171.729, 1909.83]","[-613.739, -99.8886, 1910.11]","[-613.739, -468.504, 1910.11]","[-673.634, -89.1833, 1756.1]","[-670.767, -275.859, 1716.29]","[-747.484, -329.139, 1651.09]","[-623.279, -609.926, 1387.42]","[-619.498, -975.814, 1375.23]","[-586.057, -336.018, 1761.82]","[-696.511, -530.753, 1423.29]","[-699.333, -880.483, 1408.94]","[-654.142, -335.452, 1464.12]","[-613.739, -367.109, 1910.11]","[-656.034, 248.644, 1757.43]","[0, 0, 0]"
103,31.25,2,122,"[-623.373, 363.606, 1798.18]","[-660.924, 166.972, 1759.95]","[-727.135, 157.678, 1628.11]","[-758.068, -106.401, 1571.82]","[-644.553, -376.143, 1440.72]","[-613.702, 171.884, 1910.76]","[-613.706, -99.9108, 1911.51]","[-613.706, -468.771, 1911.51]","[-676.015, -86.7632, 1761.63]","[-672.361, -273.648, 1721.72]","[-749.254, -327.93, 1658.32]","[-649.303, -650.148, 1444.24]","[-673.746, -1074.77, 1500.8]","[-589.808, -337.609, 1764.92]","[-695.738, -521.095, 1417.42]","[-694.423, -902.95, 1415.56]","[-663.47, -331.187, 1462.57]","[-613.706, -367.376, 1911.51]","[-656.068, 248.649, 1759.41]","[0, 0, 0]"
104,30.303,2,122,"[-624.324, 365.039, 1800.26]","[-661.433, 166.993, 1763.29]","[-735.6, 159.307, 1635.93]","[-764.522, -103.621, 1573.81]","[-653.581, -373.654, 1439.53]","[-613.498, 171.502, 1912.82]","[-594.798, -72.9621, 1836.74]","[-554.189, -375.41, 1877.44]","[-677.271, -84.7702, 1765.57]","[-673.35, -271.819, 1725.36]","[-751.404, -326.373, 1663.71]","[-681.558, -689.265, 1520.11]","[-706.123, -1102.38, 1580.42]","[-593.023, -340.631, 1765.51]","[-690.374, -548.479, 1430.64]","[-685.362, -959.627, 1444.32]","[-672.071, -328.649, 1461.91]","[-561.17, -324.992, 1870.66]","[-656.301, 248.656, 1762.55]","[0, 0, 0]"
105,30.303,2,122,"[-625.481, 366.137, 1802.19]","[-662.806, 167.017, 1766.85]","[-741.501, 161.423, 1641.31]","[-770.832, -101.029, 1577.32]","[-668.744, -371.85, 1437.42]","[-613.167, 170.757, 1915.57]","[-613.423, -88.1451, 1885.82]","[-527.825, -387.661, 1889.53]","[-677.977, -83.27, 1767.97]","[-674.085, -270.466, 1727.45]","[-753.764, -325.275, 1667.79]","[-720.352, -715.065, 1587.18]","[-747.73, -1111.58, 1630.97]","[-597.577, -345.249, 1765.79]","[-701.774, -575.015, 1448.26]","[-712.248, -978.495, 1462.51]","[-685.757, -326.712, 1460.74]","[-542.258, -337.749, 1888.91]","[-657.862, 248.694, 1766.49]","[0, 0, 0]"
106,30.303,2,122,"[-626.868, 366.824, 1803.51]","[-665.149, 167.043, 1770.07]","[-745.248, 162.931, 1644.43]","[-777.45, -99.6522, 1582.47]","[-683.834, -369.299, 1435.09]","[-612.913, 170.056, 1918.18]","[-624.365, -95.5796, 1927.26]","[-512.408, -389.55, 1894.92]","[-678.506, -82.2241, 1769.24]","[-674.748, -269.757, 1728.62]","[-755.641, -325.03, 1669.57]","[-756.086, -727.438, 1627.48]","[-777.984, -1112.45, 1645.29]","[-601.189, -349.886, 1765.58]","[-719.443, -589.268, 1459.78]","[-733.259, -978.682, 1466.63]","[-699.433, -324.357, 1459.65]","[-531.145, -340.566, 1900.31]","[-660.776, 248.748, 1770.35]","[0, 0, 0]"
107,30.303,2,122,"[-628.546, 367.086, 1804.43]","[-668.243, 167.075, 1772.62]","[-748.186, 163.816, 1645.94]","[-783.235, -99.9173, 1589.69]","[-700.414, -366.204, 1431.65]","[-612.837, 169.61, 1920.12]","[-626.94, -98.8951, 1952.16]","[-501.175, -385.136, 1887.97]","[-679.022, -81.5406, 1769.84]","[-675.408, -269.706, 1729.28]","[-757.677, -325.286, 1670.38]","[-776.596, -731.277, 1634.63]","[-784.081, -1111.01, 1626.58]","[-603.182, -353.409, 1765.77]","[-739.579, -588.438, 1463.9]","[-753.435, -965.133, 1464.23]","[-714.21, -321.824, 1457.99]","[-522.146, -337.435, 1898.67]","[-664.702, 248.812, 1773.53]","[0, 0, 0]"
108,31.25,2,122,"[-630.469, 367.172, 1805.05]","[-671.405, 167.117, 1774.42]","[-751.759, 164.485, 1646.92]","[-788.26, -100.079, 1595.15]","[-714.451, -363.843, 1430.57]","[-612.941, 169.463, 1921.47]","[-621.668, -101.449, 1951.36]","[-493.74, -384.582, 1873.21]","[-679.642, -81.1684, 1770.13]","[-676.155, -270.503, 1729.84]","[-760.384, -326.454, 1671.05]","[-774.265, -728.449, 1606.76]","[-764.035, -1104.27, 1574.95]","[-604.519, -357.371, 1766.88]","[-738.621, -577.569, 1453.32]","[-733.16, -948.185, 1442.12]","[-726.751, -319.883, 1458.0]","[-515.043, -337.39, 1886.24]","[-668.693, 248.878, 1775.84]","[0, 0, 0]"
109,30.303,2,122,"[-631.917, 367.229, 1805.59]","[-673.882, 167.173, 1775.78]","[-754.671, 164.902, 1647.56]","[-791.052, -100.24, 1598.66]","[-723.173, -361.931, 1431.75]","[-613.078, 169.453, 1922.74]","[-612.255, -102.589, 1939.76]","[-486.265, -384.167, 1858.47]","[-680.36, -81.0625, 1770.32]","[-676.978, -272.116, 1730.34]","[-762.782, -328.463, 1671.31]","[-744.685, -717.153, 1562.31]","[-716.454, -1087.84, 1524.55]","[-605.196, -361.209, 1768.16]","[-725.987, -590.778, 1456.04]","[-713.021, -984.48, 1458.84]","[-734.49, -318.316, 1459.56]","[-507.243, -337.234, 1872.02]","[-671.746, 248.947, 1777.57]","[0, 0, 0]"
110,30.303,2,122,"[-632.78, 367.339, 1806.21]","[-675.342, 167.235, 1776.73]","[-756.417, 165.041, 1647.91]","[-792.925, -100.424, 1601.13]","[-728.887, -360.046, 1434.95]","[-613.153, 169.451, 1924.0]","[-604.649, -102.725, 1934.13]","[-483.366, -381.449, 1848.25]","[-681.103, -81.4653, 1770.53]","[-677.887, -274.6, 1730.86]","[-764.755, -332.008, 1671.76]","[-708.405, -703.547, 1525.39]","[-680.685, -1074.89, 1500.55]","[-606.161, -365.782, 1769.6]","[-753.26, -600.926, 1474.68]","[-777.661, -989.751, 1490.39]","[-739.566, -316.775, 1462.65]","[-503.564, -334.993, 1862.56]","[-673.446, 249.011, 1778.76]","[0, 0, 0]"
111,30.303,2,122,"[-633.199, 367.483, 1806.87]","[-676.082, 167.283, 1777.52]","[-757.735, 165.016, 1648.48]","[-794.276, -100.502, 1602.38]","[-732.151, -358.904, 1439.17]","[-613.115, 169.408, 1925.34]","[-602.005, -102.675, 1930.87]","[-483.883, -377.386, 1839.85]","[-681.844, -82.5613, 1770.77]","[-678.89, -277.464, 1731.09]","[-766.294, -334.793, 1672.17]","[-683.682, -695.045, 1506.28]","[-669.265, -1072.26, 1498.72]","[-608.146, -369.965, 1770.49]","[-782.557, -607.089, 1492.65]","[-804.12, -991.787, 1505.13]","[-742.509, -315.836, 1466.37]","[-503.56, -331.6, 1855.02]","[-674.196, 249.055, 1779.73]","[0, 0, 0]"
112,30.303,2,122,"[-633.4, 367.622, 1807.55]","[-676.445, 167.322, 1778.2]","[-759.048, 164.903, 1649.27]","[-795.28, -100.595, 1603.19]","[-734.903, -358.773, 1444.33]","[-613.054, 169.381, 1926.67]","[-602.376, -102.58, 1928.86]","[-486.26, -372.639, 1831.99]","[-682.621, -84.316, 1771.05]","[-680.085, -280.22, 1731.04]","[-767.569, -337.114, 1672.73]","[-674.071, -692.765, 1499.3]","[-672.663, -1075.21, 1500.52]","[-610.515, -373.074, 1770.4]","[-799.919, -611.402, 1502.3]","[-808.529, -994.828, 1506.46]","[-744.968, -315.742, 1470.81]","[-505.607, -327.629, 1848.14]","[-674.439, 249.088, 1780.53]","[0, 0, 0]"
113,30.303,2,122,"[-633.539, 367.742, 1808.28]","[-676.643, 167.35, 1778.84]","[-760.008, 164.515, 1650.21]","[-796.099, -100.786, 1603.25]","[-736.715, -358.667, 1448.1]","[-613.024, 169.403, 1927.98]","[-604.621, -102.467, 1927.46]","[-489.294, -368.597, 1826.83]","[-683.43, -86.3851, 1771.32]","[-681.409, -282.596, 1730.84]","[-768.758, -337.868, 1672.55]","[-675.562, -693.922, 1499.02]","[-681.613, -1078.35, 1503.35]","[-611.477, -373.757, 1769.95]","[-796.301, -616.436, 1501.92]","[-787.564, -1000.86, 1498.16]","[-746.613, -315.686, 1473.96]","[-508.513, -324.241, 1843.6]","[-674.458, 249.107, 1781.26]","[0, 0, 0]"
114,30.303,2,122,"[-633.663, 367.831, 1809.04]","[-676.795, 167.37, 1779.51]","[-761.165, 163.623, 1651.91]","[-796.213, -101.347, 1602.66]","[-737.449, -359.245, 1450.82]","[-613.069, 169.483, 1929.08]","[-606.501, -102.299, 1926.2]","[-492.431, -365.694, 1822.66]","[-684.265, -88.3092, 1771.85]","[-682.776, -284.474, 1730.63]","[-769.972, -337.783, 1671.95]","[-684.887, -697.791, 1503.24]","[-695.041, -1083.55, 1509.15]","[-611.616, -373.123, 1769.51]","[-736.402, -645.463, 1502.48]","[-683.19, -1050.39, 1501.31]","[-747.243, -316.262, 1476.12]","[-511.442, -321.794, 1839.92]","[-674.409, 249.12, 1781.95]","[0, 0, 0]"
115,31.25,2,122,"[-633.669, 367.872, 1809.57]","[-676.94, 167.387, 1780.05]","[-762.307, 162.531, 1653.91]","[-795.961, -102.034, 1601.81]","[-737.33, -360.244, 1452.86]","[-613.321, 169.808, 1929.9]","[-608.44, -101.886, 1924.41]","[-494.632, -364.27, 1821.7]","[-685.091, -89.9058, 1772.54]","[-684.081, -285.901, 1730.47]","[-770.898, -338.04, 1671.41]","[-694.142, -703.29, 1511.04]","[-701.764, -1089.55, 1518.21]","[-611.174, -371.699, 1769.0]","[-741.857, -558.593, 1450.47]","[-751.923, -865.377, 1405.26]","[-747.102, -317.21, 1477.68]","[-513.6, -320.539, 1838.82]","[-674.351, 249.132, 1782.44]","[0, 0, 0]"
