frameid,fps,people_cnt,bodyid,Head,ShoulderSpine,LeftShoulder,LeftElbow,LeftHand,RightShoulder,RightElbow,RightHand,MidSpine,BaseSpine,LeftHip,LeftKnee,LeftFoot,RightHip,RightKnee,RightFoot,LeftWrist,RightWrist,Neck,Unknown
114,30.303,2,44,"[962.839, 128.91, 2236.63]","[984.594, -42.6936, 2181.7]","[986.237, -51.7547, 2363.08]","[843.698, -260.162, 2260.1]","[833.194, -261.525, 1978.84]","[1128.99, -42.7617, 2099.73]","[1034.13, -268.309, 1979.2]","[815.551, -109.247, 1897.82]","[948.26, -285.632, 2120.4]","[941.507, -461.274, 2069.12]","[838.089, -517.999, 2065.33]","[839.046, -911.298, 2065.91]","[839.046, -1276.43, 2065.91]","[1013.61, -495.023, 1982.84]","[1012.6, -887.94, 1984.15]","[1012.6, -1253.07, 1984.15]","[834.943, -261.298, 2025.72]","[851.979, -135.76, 1911.38]","[995.826, 32.3823, 2200.65]","[0, 0, 0]"
115,30.303,2,44,"[959.306, 129.875, 2236.97]","[981.441, -42.8052, 2181.77]","[976.212, -51.5243, 2363.03]","[844.261, -260.865, 2252.92]","[844.261, -300.876, 1975.77]","[1119.61, -42.1463, 2092.49]","[1033.43, -271.137, 1976.08]","[808.666, -118.049, 1900.77]","[948.17, -286.868, 2120.55]","[940.561, -462.146, 2068.89]","[839.313, -518.621, 2066.22]","[840.201, -910.917, 2066.89]","[840.201, -1276.05, 2066.89]","[1012.04, -494.942, 1984.67]","[1011.05, -886.627, 1985.83]","[1011.05, -1251.76, 1985.83]","[844.263, -294.218, 2021.96]","[846.124, -143.567, 1913.32]","[991.699, 32.4291, 2200.65]","[0, 0, 0]"
116,30.303,2,44,"[955.563, 130.864, 2237.33]","[978.462, -42.913, 2181.87]","[964.041, -52.2751, 2361.84]","[956.33, -320.826, 2360.81]","[956.33, -653.199, 2360.81]","[1111.64, -41.5001, 2086.94]","[1032.42, -272.223, 1973.41]","[800.985, -127.457, 1901.08]","[948.056, -287.953, 2120.83]","[939.603, -462.88, 2068.71]","[840.451, -519.271, 2067.4]","[841.163, -910.844, 2068.23]","[841.163, -1275.98, 2068.23]","[1010.52, -494.75, 1986.4]","[1009.62, -885.706, 1987.4]","[1009.62, -1250.84, 1987.4]","[956.33, -556.409, 2360.81]","[839.556, -151.586, 1913.13]","[987.816, 32.4649, 2200.65]","[0, 0, 0]"
117,30.303,2,44,"[951.012, 131.611, 2237.59]","[975.341, -43.051, 2182.05]","[958.03, -54.03, 2360.94]","[956.02, -321.688, 2360.36]","[956.02, -654.406, 2360.36]","[1104.56, -41.3685, 2083.23]","[1029.58, -271.383, 1969.5]","[789.768, -139.118, 1899.65]","[948.279, -286.646, 2122.06]","[938.779, -460.929, 2069.41]","[842.211, -521.763, 2068.2]","[843.414, -914.301, 2068.62]","[843.414, -1279.44, 2068.62]","[1009.12, -494.805, 1988.06]","[1008.36, -885.439, 1988.99]","[1008.36, -1250.57, 1988.99]","[956.02, -557.582, 2360.36]","[829.737, -161.163, 1911.29]","[983.727, 32.4857, 2200.65]","[0, 0, 0]"
118,30.303,2,44,"[945.231, 130.904, 2237.32]","[971.679, -43.2646, 2182.48]","[951.07, -55.8776, 2359.83]","[947.572, -322.105, 2359.09]","[947.572, -655.1, 2359.09]","[1099.11, -41.2609, 2082.17]","[1023.27, -266.511, 1963.37]","[776.654, -143.72, 1898.34]","[948.662, -284.719, 2124.55]","[938.131, -457.788, 2071.07]","[844.373, -526.821, 2068.96]","[845.808, -920.789, 2069.37]","[845.808, -1285.92, 2069.37]","[1008.05, -495.559, 1989.61]","[904.748, -760.149, 1748.53]","[880.397, -1064.87, 1682.87]","[947.572, -558.249, 2359.09]","[817.757, -164.186, 1909.18]","[978.89, 32.4958, 2200.65]","[0, 0, 0]"
119,30.303,2,44,"[936.712, 129.278, 2236.7]","[967.061, -43.5546, 2183.15]","[940.734, -56.7767, 2358.71]","[934.165, -321.041, 2358.03]","[934.165, -654.257, 2358.03]","[1092.83, -41.2037, 2081.67]","[1018.21, -257.349, 1949.53]","[762.229, -147.447, 1899.43]","[948.952, -282.993, 2128.01]","[937.695, -454.523, 2073.97]","[846.536, -535.55, 2069.67]","[847.858, -931.742, 2070.03]","[847.858, -1296.88, 2070.03]","[1007.26, -498.554, 1991.03]","[914.791, -795.026, 1774.61]","[924.515, -1196.01, 1801.32]","[934.165, -557.384, 2358.03]","[804.882, -165.769, 1907.78]","[972.8, 32.4842, 2200.65]","[0, 0, 0]"
120,30.303,2,44,"[928.219, 127.713, 2236.11]","[962.193, -43.8884, 2184.12]","[893.433, -60.4557, 2336.17]","[856.306, -326.865, 2317.27]","[856.306, -660.258, 2317.27]","[1066.17, -39.4305, 2065.16]","[1012.0, -254.039, 1923.18]","[751.288, -146.712, 1897.66]","[948.82, -281.751, 2132.61]","[937.191, -451.737, 2078.42]","[842.14, -531.29, 2072.15]","[837.808, -915.299, 2074.05]","[837.808, -1280.43, 2074.05]","[1006.17, -499.793, 1993.65]","[933.606, -836.253, 1835.38]","[948.154, -1234.64, 1885.53]","[856.306, -563.368, 2317.27]","[794.72, -164.594, 1901.91]","[966.478, 32.4627, 2200.65]","[0, 0, 0]"
121,30.303,2,44,"[922.576, 126.804, 2235.76]","[958.196, -44.2928, 2185.76]","[903.793, -63.6266, 2341.92]","[920.924, -328.531, 2350.29]","[920.924, -662.067, 2350.29]","[1079.66, -40.9059, 2085.76]","[1008.58, -224.832, 1916.59]","[743.348, -137.49, 1873.57]","[948.361, -281.255, 2139.77]","[936.391, -450.183, 2085.41]","[838.147, -523.964, 2077.85]","[835.087, -906.61, 2082.23]","[835.087, -1271.75, 2082.23]","[1004.37, -499.912, 1999.68]","[923.839, -748.901, 1750.24]","[909.307, -1036.73, 1667.97]","[920.924, -565.163, 2350.29]","[787.544, -152.014, 1880.74]","[961.382, 32.4463, 2200.65]","[0, 0, 0]"
122,30.303,2,44,"[919.559, 126.509, 2235.64]","[954.571, -44.6768, 2187.73]","[915.453, -67.783, 2344.51]","[927.976, -332.782, 2347.6]","[927.976, -666.431, 2347.6]","[1069.67, -43.2245, 2081.2]","[986.261, -208.811, 1897.91]","[724.048, -111.608, 1853.05]","[946.33, -281.119, 2148.09]","[934.504, -450.075, 2093.67]","[836.531, -523.216, 2084.25]","[835.918, -912.509, 2088.62]","[835.918, -1277.65, 2088.62]","[1002.64, -499.576, 2009.1]","[912.988, -699.824, 1707.85]","[903.55, -1032.94, 1679.45]","[927.976, -569.516, 2347.6]","[767.749, -127.792, 1860.53]","[957.268, 32.4368, 2200.65]","[0, 0, 0]"
123,30.303,2,44,"[918.208, 126.555, 2235.65]","[950.859, -44.9005, 2189.09]","[902.245, -73.4143, 2336.95]","[890.604, -338.937, 2330.56]","[890.604, -672.676, 2330.56]","[1030.27, -38.061, 2058.45]","[951.251, -197.107, 1866.28]","[710.289, -61.003, 1868.48]","[942.026, -282.242, 2153.62]","[930.797, -452.152, 2099.05]","[834.603, -523.673, 2087.19]","[833.586, -913.468, 2088.22]","[833.586, -1278.61, 2088.22]","[999.816, -498.829, 2017.15]","[900.397, -678.783, 1693.37]","[891.435, -1037.45, 1691.11]","[890.604, -575.753, 2330.56]","[750.454, -83.5516, 1868.12]","[953.746, 32.4324, 2200.65]","[0, 0, 0]"
